Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
10.4	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12	-6.982976E-12
11.05	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12	-6.983266E-12
11.7	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12	-6.983553E-12
12.35	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12	-6.98384E-12
13	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12	-6.984125E-12
13.65	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12	-6.984408E-12
14.3	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12	-6.98469E-12
14.95	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12	-6.984971E-12
15.6	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12	-6.98525E-12
16.25	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12	-6.985528E-12
