Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
9.1	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13	-9.631672E-13
9.75	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13	-9.641638E-13
10.4	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13	-9.651395E-13
11.05	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13	-9.660949E-13
11.7	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13	-9.670304E-13
12.35	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13	-9.679462E-13
13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13	-9.688428E-13
13.65	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13	-9.697208E-13
14.3	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13	-9.705804E-13
14.95	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13	-9.714219E-13
15.6	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13	-9.722459E-13
16.25	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13	-9.730526E-13
16.9	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13	-9.738425E-13
17.55	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13	-9.746158E-13
18.2	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13	-9.75373E-13
18.85	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13	-9.761144E-13
19.5	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13	-9.768401E-13
20.15	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13	-9.775508E-13
20.8	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13	-9.782466E-13
21.45	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13	-9.789278E-13
22.1	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13	-9.795948E-13
22.75	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13	-9.802478E-13
23.4	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13	-9.808871E-13
