Time (ms)	Sweep 1	Sweep 2	Sweep 3	Sweep 4	Sweep 5	Sweep 6	Sweep 7	Sweep 8	Sweep 9	Sweep 10	Sweep 11	Sweep 12	Sweep 13	Sweep 14	Sweep 15	Sweep 16	Sweep 17	Sweep 18	Sweep 19	Sweep 20
2.08	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13	-2.809889E-13
2.21	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13	-2.806184E-13
2.34	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13	-2.802679E-13
2.47	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13	-2.799363E-13
2.6	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13	-2.796225E-13
2.73	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13	-2.793256E-13
2.86	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13	-2.790446E-13
2.99	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13	-2.787786E-13
3.12	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13	-2.785269E-13
3.25	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13	-2.782887E-13
